month,rank,citation_count,title,arxiv_id,url,fetched_at,provisional
2025-02,4,173,When More is Less: Understanding Chain-of-Thought Length in LLMs,2502.07266,https://arxiv.org/abs/2502.07266,2026-06-03T20:52:25.870639+00:00,0
2025-02,5,168,ZebraLogic: On the Scaling Limits of LLMs for Logical Reasoning,2502.01100,https://arxiv.org/abs/2502.01100,2026-06-03T20:52:25.869187+00:00,0
2025-02,6,164,EmbodiedBench: Comprehensive Benchmarking Multi-modal Large Language Models for Vision-Driven Embodied Agents,2502.09560,https://arxiv.org/abs/2502.09560,2026-06-04T12:02:33.315407+00:00,0
2025-02,7,137,The Danger of Overthinking: Examining the Reasoning-Action Dilemma in Agentic Tasks,2502.08235,https://arxiv.org/abs/2502.08235,2026-06-04T12:02:33.315064+00:00,0
2025-02,8,129,"LLMs Can Easily Learn to Reason from Demonstrations Structure, not content, is what matters!",2502.07374,https://arxiv.org/abs/2502.07374,2026-06-03T20:52:25.870677+00:00,0
2025-02,9,121,AIDE: AI-Driven Exploration in the Space of Code,2502.13138,https://arxiv.org/abs/2502.13138,2026-06-04T12:02:33.316271+00:00,0
2025-02,10,118,SafeChain: Safety of Language Models with Long Chain-of-Thought Reasoning Capabilities,2502.12025,https://arxiv.org/abs/2502.12025,2026-06-04T12:02:33.316043+00:00,0
2025-03,1,386,Why Do Multi-Agent LLM Systems Fail?,2503.13657,https://arxiv.org/abs/2503.13657,2026-06-04T06:31:02.753938+00:00,0
2025-03,2,319,Towards Reasoning Era: A Survey of Long Chain-of-Thought for Reasoning Large Language Models,2503.09567,https://arxiv.org/abs/2503.09567,2026-06-04T06:31:02.752838+00:00,0
2025-03,3,290,R1-VL: Learning to Reason with Multimodal Large Language Models via Step-wise Group Relative Policy Optimization,2503.12937,https://arxiv.org/abs/2503.12937,2026-06-04T06:31:02.753744+00:00,0
2025-03,4,234,R1-Searcher: Incentivizing the Search Capability in LLMs via Reinforcement Learning,2503.05592,https://arxiv.org/abs/2503.05592,2026-06-04T06:31:02.751616+00:00,0
2025-03,5,232,Monitoring Reasoning Models for Misbehavior and the Risks of Promoting Obfuscation,2503.11926,https://arxiv.org/abs/2503.11926,2026-06-04T06:31:02.753470+00:00,0
2025-03,6,169,Survey on Evaluation of LLM-based Agents,2503.16416,https://arxiv.org/abs/2503.16416,2026-06-04T06:31:02.754710+00:00,0
2025-03,7,157,Empowering Edge Intelligence: A Comprehensive Survey on On-Device AI Models,2503.06027,https://arxiv.org/abs/2503.06027,2026-06-04T06:31:02.751702+00:00,0
2025-03,8,151,"R1-Zero's ""Aha Moment"" in Visual Reasoning on a 2B Non-SFT Model",2503.05132,https://arxiv.org/abs/2503.05132,2026-06-04T06:31:02.751516+00:00,0
2025-03,9,139,Chain-of-Thought Reasoning In The Wild Is Not Always Faithful,2503.08679,https://arxiv.org/abs/2503.08679,2026-06-04T06:31:02.752707+00:00,0
2025-03,10,138,"Advances and Challenges in Foundation Agents: From Brain-Inspired Intelligence to Evolutionary, Collaborative, and Safe Systems",2504.01990,https://arxiv.org/abs/2504.01990,2026-06-04T06:31:02.757353+00:00,0
2025-04,1,820,Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?,2504.13837,https://arxiv.org/abs/2504.13837,2026-06-04T06:31:04.910247+00:00,0
2025-04,2,253,The AI Scientist-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search,2504.08066,https://arxiv.org/abs/2504.08066,2026-06-04T06:31:04.908154+00:00,0
2025-04,3,216,DeepResearcher: Scaling Deep Research via Reinforcement Learning in Real-world Environments,2504.03160,https://arxiv.org/abs/2504.03160,2026-06-04T06:31:04.905338+00:00,0
2025-04,4,215,VAPO: Efficient and Reliable Reinforcement Learning for Advanced Reasoning Tasks,2504.05118,https://arxiv.org/abs/2504.05118,2026-06-04T06:31:04.906686+00:00,0
2025-04,5,214,SmolVLM: Redefining small and efficient multimodal models,2504.05299,https://arxiv.org/abs/2504.05299,2026-06-04T06:31:04.906836+00:00,0
2025-04,6,175,PaperBench: Evaluating AI's Ability to Replicate AI Research,2504.01848,https://arxiv.org/abs/2504.01848,2026-06-04T06:31:02.757263+00:00,0
2025-04,7,162,Reasoning Models Can Be Effective Without Thinking,2504.09858,https://arxiv.org/abs/2504.09858,2026-06-04T06:31:04.908812+00:00,0
